A121151,A121151.1,A121151.2
PTC10,PTC11,PTC12
Deg.F,Deg.F,Deg.F
69.6,69.6,69.9
69.6,69.6,69.9
69.6,69.6,69.9
69.6,69.6,69.9
70.4,70.2,70.3
71.3,70.8,70.8
72.3,71.5,71.5
73.6,72.4,72.7
75.5,73.9,74.2
77.9,75.3,76.1
79.8,76.8,78.2
80.4,77.2,78.6
83.6,79.5,81.7
87.8,82.6,85.5
92,85.4,89.5
96.3,89,93.8
101.2,92.6,98.6
106.7,96.8,103.8
111.6,101,109.2
117.6,105.3,114.8
123.7,110.1,120.8
130.1,115,127.4
136,120.1,133.3
142.3,125.7,139.7
147.6,130.1,144.8
148.4,130.8,145.5
153.6,135.4,151.4
159.3,141,157.3
164.9,145.9,162.7
169.9,151.2,168
174.4,155.5,172.8
179.3,160.9,177.5
183.5,165,181.9
187.5,169.3,186.1
191.7,173.9,190.2
195.3,177.8,193.9
198.9,182,197.7
202.7,186.3,201.3
205.8,190.1,204.8
209,193.7,208
212,197.2,211.1
215.2,200.6,214.2
218,204,217
220.8,207.2,219.9
223.3,210.4,222.5
225.8,213.6,225
228.4,216.3,227.5
230.7,218.9,229.8
233,221.8,232.1
235,224.5,234.3
237,226.8,236.4
239.3,229.2,238.6
241.2,231.5,240.6
243,233.8,242.4
244.4,235.7,244.3
246.3,237.9,245.8
247.7,239.9,247.3
249.1,241.7,248.7
250,243.2,249.8
251.3,244.8,251
252.1,246.2,251.9
253.1,247.4,252.9
253.7,248.6,253.6
254.6,249.9,254.4
255.3,251,255.2
256.1,252,255.8
256.3,252.5,256.3
256.3,252.6,256.3
256.9,253.4,256.8
257.4,254.2,257.4
257.8,254.9,257.7
258.2,255.4,258.1
258.6,256,258.5
258.9,256.5,258.9
259.2,257.1,259.2
259.5,257.4,259.5
259.9,257.8,259.7
260.2,258.3,260.1
260.4,258.7,260.4
260.6,258.9,260.6
260.9,259.3,260.9
261.1,259.7,261.1
261.3,260,261.3
261.4,260.2,261.6
261.6,260.4,261.8
261.8,260.7,261.9
261.9,260.9,262.1
262.1,261.2,262.3
262.3,261.4,262.5
262.5,261.6,262.6
262.5,261.8,262.8
262.7,262.1,263
262.9,262.2,263
263.1,262.3,263.2
263.2,262.5,263.3
263.1,262.7,263.4
263.4,262.9,263.6
263.5,262.9,263.6
263.5,263.1,263.8
263.6,263.1,263.7
263.7,263.2,263.9
263.7,263.3,263.9
263.8,263.5,264.1
263.9,263.5,264
263.9,263.5,264
264.1,263.6,264.2
264.1,263.7,264.2
264.1,263.8,264.2
264.2,263.8,264.2
264.2,263.9,264.3
264.2,264,264.4
264.3,264,264.4
264.3,264,264.4
264.3,264,264.4
264.4,264.1,264.4
264.4,264.1,264.4
264.4,264.2,264.4
264.5,264.2,264.4
264.4,264.2,264.5
263.2,263.3,263.9
263.4,263.7,263.7
263.1,263.5,263.3
262.7,263.3,262.9
262.4,263,262.7
262.3,262.9,262.4
262.1,262.6,262.1
261.9,262.4,261.9
261.7,262.3,261.8
261.5,262.1,261.6
261.3,261.7,261.4
261.1,261.6,261.2
260.9,261.5,261.1
260.9,261.3,261
260.7,261.2,260.8
260.7,261.1,260.7
260.5,260.9,260.5
260.5,260.8,260.5
260.4,260.7,260.5
260.3,260.7,260.3
260.2,260.6,260.4
260.2,260.4,260.2
260.2,260.4,260.2
260.1,260.3,260.1
260.1,260.2,260.1
260,260.2,260.1
260,260.2,260.1
260,260.1,260
260,260,260
259.9,260,259.9
259.9,259.9,260
259.8,260,259.9
259.9,259.9,259.9
259.8,259.9,259.8
259.7,259.8,259.9
259.8,259.8,259.8
259.7,259.8,259.8
259.7,259.7,259.7
259.6,259.7,259.7
259.6,259.7,259.7
259.6,259.6,259.7
258.8,259,259.4
258.8,259.2,259.2
258,258.5,258.6
257.6,258.5,258.1
256.5,257.9,257.2
255.4,256.8,256.4
254.6,256.3,255.5
253.3,255.4,254.2
251.6,254.1,252.8
250.2,252.9,251.5
250.2,252.9,251.5
248.8,252,249.9
247.1,250.5,248.3
245.2,249,246.5
243.5,247.6,244.8
241.7,246.1,242.9
239.7,244.4,240.8
237.3,242.3,238.7
235.2,240.5,236.7
233.3,238.7,234.5
231.1,236.8,232.2
228.4,234.5,229.8
226,232.2,227.4
223.6,229.9,225
220.9,227.6,222.3
218.4,225.5,219.8
215.9,222.9,217.1
212.8,220.5,214.3
210.1,218,211.6
207.2,215,208.9
204.6,212.7,206.1
201.6,209.8,203.3
198.8,207.2,200.3
195.9,204.5,197.5
192.9,201.8,194.6
189.9,198.8,191.5
186.6,195.9,188.4
184,193.1,185.6
181.1,190.6,182.6
178.3,187.6,179.8
175.5,184.6,177
172.6,181.9,174.3
170.2,179.2,171.5
167.5,176.6,168.9
164.9,174.1,166.3
162.6,171.6,163.7
160.1,169,161.3
158.1,166.4,159
155.6,164.1,156.7
153.5,161.9,154.5
151.6,159.6,152.5
149.5,157.3,150.5
147.6,155.5,148.4
145.7,153.3,146.6
143.6,151.4,144.6
142.6,149.9,143.6
142,149.3,142.9
140.2,147.2,141
138.5,145.4,139.5
137.5,143.9,138.2
136.7,142.5,137.4
136.1,141.8,137.3
